code,name,type,detail_type,description,parent_account,entity,account_number,routing_number,institution,is_sub_account,active,tax_form,tax_line
1000,Business Checking,asset,Checking,Business checking bank account for cash deposits...,,schedule_c,8990169153,123672871,Other Financial Institution,false,true,Schedule C,Schedule C
1020,Petty Cash,asset,Other Current Asset,It is a small amount of cash...,Current Assets,schedule_c,7570467239,177062844,Other Financial Institution,true,true,Schedule C,Schedule C
1030,Accounts Receivable,asset,Accounts Receivable,The money that customers owe you becomes...,Current Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1060,Employee Advance,asset,Other Current Asset,Money paid out to an employee in...,Pre-paid Expenses,schedule_c,,,,true,true,Schedule C,Schedule C
1090,Office Equipment,liability,Other Current Liability,"Computers, furniture, and other office equipment",Equipment,schedule_c,,,,true,true,Schedule C,Schedule C
1100,Current Assets,asset,Other Current Asset,Standard ledger account for current assets operations.,Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1101,Square Debit Card Srv Tax-n-multiservice LLC Lafayette,asset,Other Current Asset,Asset account tracking square debit card srv...,Bank And Cash,schedule_c,,,,true,true,Schedule C,Schedule C
1103,Undeposited Funds,asset,Other Current Asset,Record funds received by your company yet...,Current Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1110,Bank And Cash,asset,Other Current Asset,Cash on hand or petty cash reserve...,Current Assets,schedule_c,4001500974,203764339,Other Financial Institution,true,true,Schedule C,Schedule C
1400,Pre-paid Expenses,asset,Other Current Asset,Expense account tracking business pre-paid expenses expenditures.,Current Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1410,Advanced Tax,asset,Other Current Asset,Asset account tracking advanced tax holdings and...,Pre-paid Expenses,schedule_c,,,,true,true,Schedule C,Schedule C
1500,Other,asset,Other Current Asset,Asset account tracking other holdings and reserves.,Current Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1600,Fixed Assets,asset,Fixed Asset,Long-term fixed asset account tracking capital assets...,Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1601,Equipment,asset,Fixed Asset,Long-term fixed asset account tracking capital assets...,Fixed Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1700,Furniture,asset,Other Current Asset,Asset account tracking furniture holdings and reserves.,Fixed Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1800,Buildings,asset,Fixed Asset,Long-term fixed asset account tracking capital assets...,Fixed Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1900,Accumulated Depreciation,asset,Other Current Asset,Asset account tracking accumulated depreciation holdings and...,Fixed Assets,schedule_c,,,,true,true,Schedule C,Schedule C
1999,Other Assets,asset,Other Current Asset,Asset account tracking other assets holdings and...,Fixed Assets,schedule_c,,,,true,true,Schedule C,Schedule C
2030,Tax Payable,asset,Other Current Asset,The amount of money which you owe...,Current Liabilities,schedule_c,,,,true,true,Schedule C,Schedule C
2050,Bad Debt,liability,Other Current Liability,Any amount which is lost and is...,Sch C - Part Ii - Expenses-16a. Interest On Mortgage,schedule_c,,,,true,true,Schedule C,Schedule C
2070,Employee Reimbursements,asset,Other Current Asset,This account can be used to track...,Current Liabilities,schedule_c,,,,true,true,Schedule C,Schedule C
2080,Dimension Adjustments,asset,Other Current Asset,This adjustment account tracks the transfers between...,Current Liabilities,schedule_c,,,,true,true,Schedule C,Schedule C
2100,Current Liabilities,asset,Other Current Asset,Asset account tracking current liabilities holdings and...,,schedule_c,,,,false,true,Schedule C,Schedule C
2110,Accounts Payable,asset,Other Current Asset,This is an account of all the...,Current Liabilities,schedule_c,2865533916,,Other Financial Institution,true,true,Schedule C,Schedule C
2120,Unearned Revenue,asset,Other Current Asset,A liability account that reports amounts received...,Current Liabilities,schedule_c,,,,true,true,Schedule C,Schedule C
2130,Opening Balance Adjustment,asset,Other Current Asset,Liability account tracking opening balance adjustment obligation...,Current Liabilities,schedule_c,,,,true,true,Schedule C,Schedule C; Not Applicable
2200,Accrued Liabilities,asset,Other Current Asset,Credit card liability account tracking outstanding balances...,Current Liabilities,schedule_c,0577284505,,Other Financial Institution,true,true,Schedule C,Schedule C
2500,Long-term Liabilities,liability,Other Current Liability,Liability account tracking long-term liabilities obligation balances.,,schedule_c,,,,false,true,Schedule C,Schedule C
2600,Mortgage,liability,Long Term Liability,Long-term liability account tracking outstanding loan and...,Long-term Liabilities,schedule_c,,,,true,true,Schedule C,Schedule C
2800,Other Liabilities,liability,Other Current Liability,Liability account tracking other liabilities obligation balances.,,schedule_c,,,,false,true,Schedule C,Schedule C
3100,Gross Receipts Income Rev Sales,revenue,Service/Fee Income,Revenue account tracking income from sales of...,Income,schedule_c,,,,true,true,Schedule C,Schedule C
3101,Service Income,revenue,Service/Fee Income,Revenue account tracking income generated from professional...,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3102,360 Plans,revenue,Service/Fee Income,Equity account tracking 360 plans ownership balances.,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3200,Consulting Income,revenue,Service/Fee Income,Liability account tracking consulting income obligation balances.,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3250,Qhr Llp Draws,revenue,Service/Fee Income,Equity account tracking owner drawings and personal...,Income,schedule_c,,,,true,true,Schedule C,Schedule C
3300,Tax Service Income,revenue,Service/Fee Income,Revenue account tracking income generated from professional...,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3400,Document Service Income,revenue,Service/Fee Income,Revenue account tracking income generated from professional...,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3500,Marketing Service Income,revenue,Service/Fee Income,Revenue account tracking income generated from professional...,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3600,Property Subscriptions,revenue,Service/Fee Income,Equity account tracking property subscriptions ownership balances.,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3601,Rental Subs,revenue,Service/Fee Income,Expense account tracking office lease and property...,Property Subscriptions,schedule_c,,,,true,true,Schedule C,Schedule C
3700,Tesla Subs,revenue,Service/Fee Income,Equity account tracking tesla subs ownership balances.,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3800,Product Sales,revenue,Service/Fee Income,Revenue account tracking income from sales of...,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
3900,Misc Income,revenue,Service/Fee Income,Revenue account tracking misc income streams.,Gross Receipts Income Rev Sales,schedule_c,,,,true,true,Schedule C,Schedule C
